QS World University Rankings by Faculty Area,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
Psychology,,,,,,,,,
,,,,Institutions Considered,,995,,,
,,,,,,,,,
,,,,,,,,,
,,,,,Weightings,,,,
,,,,Academic,0.4,,,,
,,,,Employer,0.3,,,,
,,,,Citations,0.1,,,,
,,,,H,0.1,,,,
,,,,IRN,0.1,,,,
Top 330 Universities - Psychology,,,,,,,,,
2024,2023,Institution,Location,Academic,Employer,Citations,H,International,Score
201-250,201-250,Technische Universität Dresden,Germany,56.6,57.4,77.9,75.1,49.6,
201-250,151-200,Tel Aviv University,Israel,57.2,50,77.8,79.8,55.8,
201-250,201-250,Temple University,United States,47.7,54.9,82.5,84.2,59.5,
201-250,151-200,The Hebrew University of Jerusalem,Israel,57.1,54.4,80.8,82.2,41.7,
201-250,201-250,Universidade Federal do Rio de Janeiro,Brazil,60,70.4,60.6,68.1,36.6,
201-250,151-200,Université Paris Cité,France,58.4,51.3,68.9,78.6,60.7,
201-250,251-300,University of Canterbury | Te Whare Wānanga o Waitaha,New Zealand,61.8,65.8,64.7,68.1,26.8,
201-250,151-200,University of Cape Town,South Africa,50.1,63.8,77.5,76.1,64.5,
201-250,151-200,University of Cologne,Germany,58.4,56.1,77.9,80.4,34.2,
201-250,151-200,University of Illinois at Chicago (UIC),United States,51.4,63.7,80.6,83.9,27.9,
201-250,251-300,University of Iowa,United States,56.4,54,77.7,82.7,33.7,
201-250,251-300,University of Limerick,Ireland,53.3,63.2,78.7,77.4,36.9,
201-250,251-300,University of Lisbon ,Portugal,55.8,62.4,73.7,77.1,45.8,
201-250,201-250,University of Milan,Italy,55.6,62.9,81.9,78,37.7,
201-250,201-250,"University of Missouri, Columbia",United States,52.7,50.2,84.9,85.3,40.3,
201-250,251-300,University of Navarra,Spain,61.6,75.6,59.3,66,37.1,
201-250,201-250,University of Porto,Portugal,52.1,59.8,75.9,77.4,53.9,
201-250,251-300,University of South Carolina,United States,56.2,53.7,78.3,79.5,37.7,
201-250,201-250,University of Stirling,United Kingdom,54,62.6,81.1,76.4,37.1,
