QS World University Rankings by Subject,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
Engineering - Civil & Structural,,,,,,,,
Faculty Area,,Engineering & Technology,,Institutions Considered,,1220,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,Weightings,,,
,,,,Academic,0.4,,,
,,,,Employer,0.3,,,
,,,,Citations,0.15,,,
,,,,H,0.15,,,
Top 240 Universities - Engineering - Civil & Structural,,,,,,,,
2024,2023,Institution,Location,Academic,Employer,Citations,H,Score
151-200,151-200,Universiti Sains Malaysia (USM),Malaysia,61.3,66.3,81.3,73.1,
151-200,151-200,"University of California, Irvine",United States,61.6,59.6,83.1,67.6,
151-200,151-200,University of Glasgow,United Kingdom,65.4,67.9,79.8,63.8,
151-200,51-100,University of Lisbon ,Portugal,69.9,48.4,85.1,84.3,
151-200,101-150,University of Minho,Portugal,68.9,46,84.5,83.6,
151-200,151-200,University of Minnesota Twin Cities,United States,60.4,60.7,84.5,66.4,
151-200,201-230,University of Notre Dame,United States,58,66.4,76.2,65.8,
151-200,101-150,University of Strathclyde,United Kingdom,61.3,69.3,83.4,68.8,
151-200,101-150,Xi’an Jiaotong University,China (Mainland),53.8,63.5,92.9,87.4,
201-240,, Western Sydney University,Australia,48.1,59.2,90.8,80,
201-240,151-200,Alexandria University ,Egypt,55.2,69.3,77,63.8,
201-240,201-230,Beijing University of Technology,China (Mainland),47.9,55.1,86.6,89.4,
201-240,201-230,Boğaziçi University,Turkey,56.6,67.7,69.2,58.4,
201-240,,Brunel University London,United Kingdom,44.9,63.7,93.5,74.5,
201-240,,Central South University,China (Mainland),51.3,55,87.3,90.8,
201-240,,Colorado School of Mines,United States,55.4,59.5,80.1,65.8,
201-240,151-200,Czech Technical University in Prague,Czech Republic,68,54.4,63.7,62.3,
201-240,151-200,Dalian University of Technology,China (Mainland),61.4,45.4,86.1,86.8,
201-240,,Deakin University,Australia,50.1,59.7,89.1,72.1,
201-240,201-230,Graz University of Technology,Austria,65.9,48.8,78.7,67.6,
201-240,201-230,Kyushu University,Japan,59.7,59.9,73.5,59.3,
201-240,201-230,Lehigh University,United States,61.9,50.1,79.1,72.6,
201-240,151-200,Leibniz University Hannover,Germany,59.5,57,80,68.8,
201-240,201-230,Nagoya University,Japan,62.8,61.3,73.8,58.4,
201-240,151-200,National Taipei University of Technology,Taiwan,61.4,60.9,73.8,59.3,
201-240,,Politecnico di Bari,Italy,57.9,57.1,82.9,67.6,
201-240,,Pontificia Universidad Católica del Perú,Peru,62.9,71.7,58,50.8,
201-240,201-230,Rice University,United States,61.7,54.2,80.8,72.1,
201-240,201-230,Sejong University ,South Korea,55.8,50.2,91.4,72.6,
201-240,,Southwest Jiaotong University,China (Mainland),57.4,46.1,82.8,88,
201-240,151-200,Sungkyunkwan University(SKKU),South Korea,55.3,64.1,82,69.9,
