QS World University Rankings by Faculty Area,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
Geology,,,,,,,,,
,,,,Institutions Considered,,1078,,,
,,,,,,,,,
,,,,,,,,,
,,,,,Weightings,,,,
,,,,Academic,0.4,,,,
,,,,Employer,0.3,,,,
,,,,Citations,0.1,,,,
,,,,H,0.1,,,,
,,,,IRN,0.1,,,,
Top 240 Universities - Geology,,,,,,,,,
2024,2023,Institution,Location,Academic,Employer,Citations,H,International,Score
201-240,151-200,University of Massachusetts Amherst,United States,58,63.9,90.1,78.9,50.2,
201-240,151-200,University of Milan,Italy,63.8,73.5,87.6,74.9,43.5,
201-240,,University of Nebraska - Lincoln,United States,52.2,75.7,89.6,78.9,39.6,
201-240,201-230,University of Oregon,United States,69.5,52.1,84.7,75.1,46.2,
201-240,201-230,University of Otago,New Zealand,73.2,76.5,80.7,70.6,34.2,
201-240,151-200,University of Pennsylvania,United States,62.3,78.1,90.3,73.7,40,
201-240,151-200,University of Pisa,Italy,62.6,77.6,78.9,71.6,64.6,
201-240,201-230,University of Saskatchewan,Canada,59.8,61.8,90.5,79.6,45.7,
201-240,151-200,University of Southern California,United States,62.9,65.2,84.5,75.4,51.1,
201-240,201-230,University of Tsukuba,Japan,60.3,55.4,89.1,77.7,49,
201-240,201-230,University of Witwatersrand,South Africa,68.7,43.5,81.8,75.9,57,
201-240,,University of York,United Kingdom,56.1,62.6,86.4,77,55.3,
201-240,201-230,Western University,Canada,66.5,67.7,82.5,74,52.8,
