QS World University Rankings by Subject,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
Politics & International Studies,,,,,,,,
Faculty Area,,Social Sciences & Management,,Institutions Considered,,1031,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,Weightings,,,
,,,,Academic,0.5,,,
,,,,Employer,0.3,,,
,,,,Citations,0.1,,,
,,,,H,0.1,,,
Top 250 Universities - Politics & International Studies,,,,,,,,
2024,2023,Institution,Location,Academic,Employer,Citations,H,Score
151-200,201-230,University of Bath,United Kingdom,45.9,66.5,84.6,74.2,
151-200,151-200,University of Bergen,Norway,58.5,53.2,86.1,75.1,
151-200,151-200,University of Canterbury | Te Whare Wānanga o Waitaha,New Zealand,57.3,67,66.9,58.6,
151-200,,University of Delhi,India,60.2,64.6,61.8,46.7,
151-200,151-200,University of Groningen,Netherlands,52.8,56.7,90,79.2,
151-200,101-150,University of Kent,United Kingdom,51.2,57.9,94.6,85.3,
151-200,151-200,University of Lausanne,Switzerland,50.6,66.3,87.1,79.9,
151-200,201-230,"University of Maryland, College Park",United States,47,61.3,91.1,80.7,
151-200,,University of Minnesota Twin Cities,United States,49.4,54.9,96.3,82.1,
151-200,201-230,University of Tartu,Estonia,59.2,55.5,68.6,58.6,
151-200,151-200,University of Virginia,United States,50.9,65.7,88.6,78.4,
151-200,151-200,University of Warsaw ,Poland,52.7,62.8,74.4,66.9,
151-200,151-200,University of York,United Kingdom,50.6,58.2,90.7,83.4,
151-200,101-150,Vrije Universiteit Amsterdam,Netherlands,54.1,56.5,93.6,85.3,
151-200,151-200,York University,Canada,53.6,62,80.3,68.1,
201-250,151-200,Aberystwyth University,United Kingdom,65,46.1,63.7,53.3,
201-250,201-230,Albert-Ludwigs-Universitaet Freiburg,Germany,54.9,49.4,82.9,73.3,
201-250,,Al-Farabi Kazakh National University,Kazakhstan,55.1,67.9,53.5,44.1,
201-250,151-200,Cardiff University,United Kingdom,45.6,61.5,91.8,82.7,
201-250,151-200,City University of New York,United States,45.2,66.5,81.9,70.3,
201-250,,Florida State University,United States,45,61.4,88.9,73.3,
201-250,,Jagiellonian University,Poland,59.4,56.5,64.1,46.7,
201-250,201-230,La Trobe University,Australia,49.9,56.4,81.1,68.1,
201-250,201-230,Lancaster University,United Kingdom,44.3,65.3,89.5,78.4,
201-250,,Macquarie University,Australia,45.3,64.2,80.6,69.2,
201-250,201-230,Osaka University,Japan,53.6,69,55.4,49.1,
201-250,201-230,Oxford Brookes University,United Kingdom,44.5,74.8,60.9,60.2,
201-250,201-230,Queen's University at Kingston,Canada,46.6,73.2,71.5,63.1,
201-250,,Radboud University ,Netherlands,48.4,51.2,94.2,84,
201-250,,Ritsumeikan University,Japan,63.2,63.7,41,34.3,
201-250,201-230,RMIT University,Australia,46.4,65.2,85.1,72.3,
201-250,,Russian Presidential Academy of National Economy and Public Administration,Russia,51.4,63.4,67.3,60.2,
201-250,,Simon Fraser University,Canada,47.7,55.4,92.8,80.7,
201-250,151-200,Sungkyunkwan University(SKKU),South Korea,47.8,69.2,70.9,63.1,
201-250,,Technical University of Munich,Germany,44.9,65.2,79,70.3,
201-250,201-230,Thammasat University,Thailand,64.7,58.5,49.4,38,
201-250,201-230,The American University in Cairo,Egypt,54.3,70.5,49.3,38,
201-250,201-230,The University of Adelaide,Australia,49.5,66.7,69.3,58.6,
201-250,201-230,The University of Georgia,United States,48.8,57.9,89.2,79.2,
201-250,201-230,UNESP,Brazil,55.9,70.6,42.9,41.2,
201-250,201-230,Universidad Carlos III de Madrid (UC3M),Spain,45.3,70.9,71.1,66.9,
201-250,,Universidade Federal de Minas Gerais      ,Brazil,59,51.8,63.4,55.2,
201-250,,Université Laval,Canada,50.1,61.8,75.1,60.2,
201-250,,Université Paris-Saclay,France,46.3,76.9,60.8,53.3,
201-250,,University of Antwerp,Belgium,49.1,52.6,87.7,84.7,
201-250,151-200,University of Bern,Switzerland,45.9,54.8,98.1,88.7,
201-250,201-230,"University of California, Davis",United States,47.3,60.9,87.7,74.2,
201-250,151-200,"University of California, Irvine",United States,47,58.8,88.6,75.1,
201-250,201-230,"University of California, Santa Barbara (UCSB)",United States,46.1,60.8,83.5,73.3,
201-250,,University of Cologne,Germany,50.3,56.2,83.1,73.3,
201-250,151-200,University of Florence,Italy,60.2,53.5,68.7,57,
201-250,,University of Hawaiʻi at Mānoa,United States,50.7,66.7,70.9,61.7,
201-250,,University of Liverpool,United Kingdom,47.3,60.5,83.6,72.3,
201-250,,University of Massachusetts Amherst,United States,44.7,64.2,86.5,77.6,
201-250,201-230,University of Otago,New Zealand,50.8,65.2,70.4,66.9,
201-250,,University of Salamanca,Spain,53.6,59.7,69.6,63.1,
201-250,,University of Southern Denmark (SDU),Denmark,51,49.3,87.7,77.6,
201-250,201-230,University of St.Gallen (HSG),Switzerland,45.7,72.1,71.2,61.7,
201-250,,University of Strathclyde,United Kingdom,50.1,56.9,83.4,74.2,
201-250,151-200,University of the Philippines,Philippines,56.6,63.6,61,49.1,
201-250,201-230,University of Waterloo,Canada,43.8,67.7,90.5,74.2,
201-250,201-230,Ural Federal University - UrFU,Russia,55.5,67.6,56,38,
201-250,201-230,Vanderbilt University,United States,51.6,51.4,90.1,74.2,
