2024,2023,Institution,Location,Academic Reputation,Employer Reputation,Citations per Paper,H-index Citations,International,Score
201-250,201-250,Universidad Nacional de La Plata (UNLP),Argentina,59.9,64.2,77.3,64.2,,48.1
201-250,201-250,Universidade de Santiago de Compostela,Spain,64.5,61.1,80.5,61.8,,54
201-250,201-250,Universitat de Valencia,Spain,63.6,53.5,83.9,66,,82.1
201-250,151-200,Universität Stuttgart,Germany,59.2,61.7,78.9,68.9,,64.6
201-250,,Université Claude Bernard Lyon 1,France,63.8,54.9,80.4,75.8,,83.6
201-250,201-250,Universiti Malaysia Pahang,Malaysia,57.7,56.8,81.5,72.8,,69.8
201-250,201-250,University College Cork,Ireland,60.8,72.7,73.8,64.2,,44.6
201-250,201-250,"University of Chemistry and Technology, Prague",Czech Republic,69.8,50.3,80.8,66.9,,55.9
201-250,151-200,University of Houston,United States,61.5,61.6,86.8,71.8,,47.4
201-250,201-250,University of Limerick,Ireland,58.7,64.7,78.2,68.1,,65.2
201-250,201-250,"University of Maryland, College Park",United States,51.8,65.6,91.1,76.1,,34.6
201-250,201-250,University of Ottawa,Canada,58.8,60.8,87.3,74.3,,60.7
201-250,151-200,University of Pisa,Italy,58.4,65.1,80.2,68.1,,54.3
201-250,301-350,University of Rochester,United States,79.8,50.8,72.9,60.7,,28.6
201-250,151-200,University of Strathclyde,United Kingdom,57.9,67.5,88.2,70.7,,42.9
201-250,201-250,Washington University in St. Louis,United States,64.8,55.3,83.9,68.5,,32.3
201-250,101-150,Xiamen University,China (Mainland),61,49.6,91.7,86.3,,74.5
251-300,251-300,Aix-Marseille University,France,66.9,44.4,77.9,66.5,,69.9
251-300,251-300,Alexandria University ,Egypt,52.6,59.9,82.5,69.3,,66.9
251-300,201-250,American University of Beirut (AUB),Lebanon,54.9,71.2,63.6,59.6,,38.8
251-300,301-350,Aston University,United Kingdom,59.6,57.4,75,68.5,,54.5
251-300,251-300,Beihang University (former BUAA),China (Mainland),51.2,54.7,88.5,83.5,,46.1
251-300,201-250,Brown University,United States,56.4,67.1,81.4,66.5,,30.7
251-300,,Cranfield University,United Kingdom,55.9,63,78.1,66.5,,49.6
251-300,201-250,Graz University of Technology,Austria,60.4,53.8,81.2,70.4,,65.6
251-300,251-300,Jeonbuk National University,South Korea,52.7,54.6,85.4,77.7,,55.2
251-300,201-250,Johannes Gutenberg Universität Mainz,Germany,58.3,52.7,86.7,66.5,,49
251-300,,Keio University,Japan,55.6,64.4,78.7,62.3,,41.5
251-300,301-350,Mendeleev University of Chemical Technology,Russia,71.9,58.4,56.2,47.8,,30
251-300,201-250,Nankai University,China (Mainland),54.1,50.1,94.5,88.5,,57.4
251-300,201-250,National Taiwan University of Science and Technology (Taiwan Tech),Taiwan,58.5,59.5,82,68.5,,48.1
251-300,201-250,National University of Sciences And Technology (NUST) Islamabad,Pakistan,54.3,64.3,82.7,68.9,,56.2
251-300,201-250,National Yang Ming Chiao Tung University,Taiwan,52.7,64.9,82.6,68.9,,47.8
251-300,251-300,Queen Mary University of London,United Kingdom,51.4,66,79.5,65.6,,55.8
251-300,201-250,Rensselaer Polytechnic Institute,United States,56.5,61.4,78.1,66,,26.5
251-300,151-200,Shandong University,China (Mainland),51.3,56.1,87.4,86.1,,51.9
251-300,201-250,South China University of Technology,China (Mainland),58.2,39.7,90.9,91.3,,60.6
251-300,251-300,Sultan Qaboos University,Oman,54.5,61.9,73.1,65.2,,73.7
251-300,251-300,Technische Universität Hamburg-Harburg,Germany,66.5,49.6,72.4,64.2,,36.7
251-300,201-250,Tomsk State University,Russia,58.5,60.6,71.8,66,,61.8
251-300,251-300,United Arab Emirates University,United Arab Emirates,57.7,66,72.2,61.8,,52.1
251-300,251-300,Universidad Autónoma Metropolitana (UAM),Mexico,60.2,61.1,74.2,63.8,,26.2
251-300,251-300,Universidad de Santiago de Chile (USACH),Chile,56,71.2,67.6,57.1,,39.7
251-300,251-300,Universidad Nacional del Litoral,Argentina,62.6,62.7,67.4,57.8,,30.3
251-300,251-300,Universidade Federal de Minas Gerais      ,Brazil,58.8,58.5,77.4,63.8,,36.4
251-300,251-300,Universidade Federal de Santa Catarina ,Brazil,63.3,50.4,79.6,68.1,,40.7
251-300,201-250,Universidade Federal de São Carlos (UFSCar),Brazil,61.7,58.4,78.4,67.3,,43.2
251-300,251-300,Universidade Federal do Rio Grande Do Sul ,Brazil,60.8,48.5,81.2,68.5,,59.2
251-300,151-200,Universidade Nova de Lisboa,Portugal,60.4,53.1,85.3,68.1,,61.1
251-300,401-420,Université de Sherbrooke,Canada,67.3,58.5,66.3,60.1,,25.7
251-300,,Université Grenoble Alpes,France,56.4,57.5,81.5,72.1,,71.7
251-300,351-400,Université Paul Sabatier Toulouse III,France,65.2,40.4,81.8,73.4,,81.8
251-300,201-250,"University of California, Irvine",United States,54.5,58.4,90.7,74.3,,49.9
251-300,251-300,University of Cape Town,South Africa,62.8,65.8,64.8,56.5,,38.7
251-300,251-300,University of Patras,Greece,59.3,53.9,78.5,64.7,,53.7
251-300,201-250,University of Pittsburgh,United States,50,62.1,92.5,78.5,,49.6
251-300,251-300,University of Science and Technology Beijing,China (Mainland),52,56.2,86.7,84.3,,50.5
251-300,201-250,University of Southern California,United States,49.3,67.2,88.1,68.9,,31.2
