2024,2023,Institution,Location,Academic Reputation,Employer Reputation,Citations per Paper,H-index Citations,International,Score
201-240,201-240,Swinburne University of Technology,Australia,49.2,52.3,93.9,81.8,,
201-240,,"Trinity College Dublin, The University of Dublin",Ireland,49.7,74.7,84.7,66,,
201-240,151-200,TU Dortmund University,Germany,54.1,50.9,72.1,63.6,,
201-240,201-240,United Arab Emirates University,United Arab Emirates,49.7,77.1,82.5,63.6,,
201-240,151-200,Universidad del Bío-Bío,Chile,57.6,55.1,65.8,54.7,,
201-240,201-240,Universidade Federal de Minas Gerais      ,Brazil,53.1,52,81.1,61.9,,
201-240,151-200,Universidade Federal de Santa Catarina ,Brazil,50.4,55.3,85.5,66,,
201-240,151-200,Université Paris-Est Créteil,France,49.6,43.7,87.6,85,,
201-240,201-240,Université PSL,France,49.8,73.3,86,66.8,,
201-240,151-200,Universiti Teknologi MARA - UiTM,Malaysia,55,61.1,68.5,57,,
201-240,,University of Antwerp,Belgium,50.9,61.3,86,68.9,,
201-240,201-240,University of Granada,Spain,50.9,59.2,81.4,67.5,,
201-240,,University of Huddersfield,United Kingdom,54.2,39.5,79.4,60,,
201-240,201-240,"University of Maryland, College Park",United States,46.7,72,89.7,78.6,,
201-240,201-240,University of Minho,Portugal,53.1,49.3,81.4,70.9,,
201-240,101-150,University of Salford,United Kingdom,55.8,46.5,76.9,59,,
201-240,151-200,University of Seoul ,South Korea,54.4,60.9,73.3,59,,
201-240,201-240,University of Twente,Netherlands,48.9,60.4,91.6,73.4,,
201-240,151-200,Victoria University of Wellington,New Zealand,52.8,67.6,72.1,61,,
201-240,201-240,Vrije Universiteit Amsterdam,Netherlands,51.4,53.5,84.4,69.6,,
201-240,151-200,Warsaw University of Technology,Poland,52.3,62.4,77.9,68.9,,
