core_id,country,city,guide,nid,title,logo,score,rank_display,asia_overall_ranking,europe_overall_ranking,region,stars,recm,dagger,redact,program_type
329,South Korea,,,294106,"<div class=""td-wrap""><a href=""/universities/kyung-hee-university"" class=""uni-link"">Kyung Hee University</a></div>",/sites/default/files/kyung-hee-university_592560cf2aeae70239af4bcd_small.jpg,,251-300,,,Asia,,0--,False,False,
1127,Lebanon,Byblos,,297147,"<div class=""td-wrap""><a href=""/universities/lebanese-american-university"" class=""uni-link"">Lebanese American University</a></div>",/sites/default/files/lebanese-american-university_592560cf2aeae70239af4eed_small.jpg,,251-300,,,Asia,,0--,False,False,
381,Thailand,Nakhon Pathom,,294879,"<div class=""td-wrap""><a href=""/universities/mahidol-university"" class=""uni-link"">Mahidol University</a></div>",/sites/default/files/mahidol-university_381_small.jpg,,251-300,,,Asia,5,0--,False,False,
395,New Zealand,Palmerston North,,294865,"<div class=""td-wrap""><a href=""/universities/massey-university"" class=""uni-link"">Massey University</a></div>",/sites/default/files/massey-university_395_small.jpg,,251-300,,,Oceania,6,0--,False,False,
15207,Russia,Moscow,,294393,"<div class=""td-wrap""><a href=""/universities/national-research-nuclear-university-mephi-moscow-engineering-physics-institute"" class=""uni-link"">National Research Nuclear University MEPhI (Moscow Engineering Physics Institute)</a></div>",/sites/default/files/national-research-nuclear-university-mephi-moscow-engineering-physics-institute_15207_small.png,,251-300,,,Europe,,0--,False,True,
442,Taiwan,Hsinchu City,,294800,"<div class=""td-wrap""><a href=""/universities/national-tsing-hua-university"" class=""uni-link"">National Tsing Hua University</a></div>",/sites/default/files/national-tsing-hua-university_442_small.jpg,,251-300,,,Asia,,0--,False,False,
455,United Kingdom,Newcastle upon Tyne,,294770,"<div class=""td-wrap""><a href=""/universities/northumbria-university-newcastle"" class=""uni-link"">Northumbria University at Newcastle</a></div>",/sites/default/files/northumbria-university-at-newcastle_592560cf2aeae70239af4c4b_small.jpg,,251-300,,,Europe,,0--,False,False,
457,Norway,Trondheim,,294764,"<div class=""td-wrap""><a href=""/universities/norwegian-university-science-technology"" class=""uni-link"">Norwegian University of Science And Technology</a></div>",/sites/default/files/norwegian-university-of-science-and-technology_457_small.jpg,,251-300,,,Europe,,0--,False,False,
1634,United Kingdom,Nottingham,,297519,"<div class=""td-wrap""><a href=""/universities/nottingham-trent-university"" class=""uni-link"">Nottingham Trent University</a></div>",/sites/default/files/nottingham-trent-university_592560cf2aeae70239af50e6_small.jpg,,251-300,,,Europe,5,0--,False,False,
2241,United States,Stillwater,,295202,"<div class=""td-wrap""><a href=""/universities/oklahoma-state-university"" class=""uni-link"">Oklahoma State University </a></div>",/sites/default/files/oklahoma-state-university-_592560cf2aeae70239af5345_small.jpg,,251-300,,,North America,,0--,False,False,
477,United Kingdom,Oxford,,297597,"<div class=""td-wrap""><a href=""/universities/oxford-brookes-university"" class=""uni-link"">Oxford Brookes University</a></div>",/sites/default/files/oxford-brookes-university_592560cf2aeae70239af4c61_small.jpg,,251-300,,,Europe,,0--,False,False,
