2024,2023,Institution,Location,Academic Reputation,Employer Reputation,Citations per Paper,H-index Citations,International,Score
251-300,251-300,Quaid-i-Azam University,Pakistan,,,,,,68.5
251-300,251-300,Rutgers University–New Brunswick,United States,,,,,,57.7
251-300,251-300,Saint Petersburg State University,Russia,,,,,,80.1
251-300,201-250,Shandong University,China (Mainland),,,,,,61.1
251-300,201-250,Sharif University of Technology,"Iran, Islamic Republic of",,,,,,80.4
251-300,301-350,Shenzhen University,China (Mainland),,,,,,65.2
251-300,201-250,Soochow University,China (Mainland),,,,,,58.7
251-300,251-300,Southeast University,China (Mainland),,,,,,58.4
251-300,151-200,Swinburne University of Technology,Australia,,,,,,68
251-300,251-300,UNESP,Brazil,,,,,,55.7
251-300,251-300,Universidad de Zaragoza,Spain,,,,,,71.5
251-300,251-300,Universidade Federal do Rio de Janeiro,Brazil,,,,,,57.9
251-300,301-350,Universiti Teknologi PETRONAS (UTP),Malaysia,,,,,,61.9
251-300,201-250,University of Antwerp,Belgium,,,,,,68.3
251-300,201-250,University of Calgary,Canada,,,,,,52.6
251-300,251-300,"University of California, Riverside",United States,,,,,,44.5
251-300,251-300,University of Lisbon ,Portugal,,,,,,79.8
251-300,201-250,"University of North Carolina, Chapel Hill",United States,,,,,,32.1
251-300,301-350,University of Surrey,United Kingdom,,,,,,65.2
251-300,251-300,University of Texas Dallas,United States,,,,,,58.4
251-300,201-250,University of Trento,Italy,,,,,,73.7
251-300,251-300,University of Tsukuba,Japan,,,,,,60.2
251-300,251-300,University of Virginia,United States,,,,,,39.8
251-300,251-300,Waseda University,Japan,,,,,,54
251-300,251-300,Washington State University,United States,,,,,,52.9
251-300,251-300,Weizmann Institute of Science,Israel,,,,,,47.8
251-300,201-250,Western University,Canada,,,,,,48.3
251-300,201-250,Wroclaw University of Science and Technology (WRUST),Poland,,,,,,79.8
301-350,301-350,Aix-Marseille University,France,,,,,,82.8
301-350,251-300,Bilkent University,Turkey,,,,,,51.1
301-350,301-350,Cairo University,Egypt,,,,,,55.6
301-350,301-350,Chongqing University,China (Mainland),,,,,,52.8
301-350,401-420,Cracow University of Technology (Politechnika Krakowska),Poland,,,,,,63.4
301-350,301-350,Griffith University,Australia,,,,,,50.3
301-350,251-300,Inha University,South Korea,,,,,,42.3
301-350,351-400,Koç University,Turkey,,,,,,44.7
301-350,251-300,Kyung Hee University,South Korea,,,,,,55.6
301-350,301-350,Kyungpook National University,South Korea,,,,,,54.3
301-350,,Leiden University,Netherlands,,,,,,48.8
301-350,301-350,Nanjing University of Science and Technology,China (Mainland),,,,,,58.4
301-350,251-300,National Research Tomsk Polytechnic University,Russia,,,,,,75.8
301-350,301-350,Northeastern University (China),China (Mainland),,,,,,68.7
301-350,301-350,Peter the Great St. Petersburg Polytechnic University,Russia,,,,,,75.1
301-350,301-350,Queen's University at Kingston,Canada,,,,,,49.5
301-350,251-300,Rensselaer Polytechnic Institute,United States,,,,,,43.4
301-350,201-250,Ruhr-Universität Bochum,Germany,,,,,,61.2
301-350,301-350,Sejong University ,South Korea,,,,,,54.1
301-350,301-350,South Ural State University (National Research University),Russia,,,,,,79.6
301-350,,SRM INSTITUTE OF SCIENCE AND TECHNOLOGY,India,,,,,,66.2
301-350,301-350,"Stony Brook University, State University of New York",United States,,,,,,49
301-350,251-300,Tampere University,Finland,,,,,,64.9
301-350,251-300,Technische Universität Bergakademie Freiberg,Germany,,,,,,64.8
301-350,301-350,Technische Universität Braunschweig,Germany,,,,,,68.9
301-350,301-350,"The University of Newcastle, Australia (UON)",Australia,,,,,,62
301-350,251-300,Tomsk State University,Russia,,,,,,80.2
301-350,251-300,Universidad de Chile,Chile,,,,,,51
301-350,301-350,Universidad de Sevilla,Spain,,,,,,66.8
301-350,251-300,Universität des Saarlandes,Germany,,,,,,73.8
301-350,301-350,Universität Duisburg-Essen,Germany,,,,,,77.9
301-350,351-400,Université de Rennes 1 (University of Rennes),France,,,,,,81.2
301-350,251-300,Université Paris Cité,France,,,,,,75.4
301-350,251-300,University at Buffalo SUNY,United States,,,,,,47.7
301-350,251-300,University College Dublin,Ireland,,,,,,53.7
301-350,251-300,University of Akron,United States,,,,,,43.7
301-350,301-350,University of Central Florida,United States,,,,,,68.2
301-350,301-350,"University of Chemistry and Technology, Prague",Czech Republic,,,,,,60.4
